"","id_client","id_vehicle","id_policy","id_year","pol_bonus","pol_coverage","pol_duration","pol_sit_duration","pol_pay_freq","pol_payd","pol_usage","pol_insee_code","drv_drv2","drv_age1","drv_age2","drv_sex1","drv_sex2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_fuel","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_type","vh_value","vh_weight"
"9853","A00009012","V02","A00009012-V02","Year 0",0.5,"Maxi",6,6,"Yearly","No","Retired","87187","No",75,0,"M","",53,0,8,1896,131,"Diesel","AUDI","A3",11,8,205,"Tourism",25520,1200
"9854","A00009013","V01","A00009013-V01","Year 0",0.72,"Maxi",5,3,"Quarterly","No","WorkPrivate","31293","No",30,0,"F","",10,0,14,1124,60,"Gasoline","PEUGEOT","106",15,14,165,"Tourism",9772,835
"9855","A00009014","V01","A00009014-V01","Year 0",0.5,"Median2",9,2,"Monthly","No","WorkPrivate","86101","No",48,0,"M","",29,0,13,2299,98,"Diesel","MERCEDES BENZ","VITO",15,12,181,"Commercial",21456,0
"9856","A00009015","V01","A00009015-V01","Year 0",0.5,"Mini",6,6,"Yearly","No","Retired","48119","No",66,0,"M","",46,0,23,1237,55,"Gasoline","RENAULT","SUPERCINQ",26,23,155,"Tourism",9178,750
"9857","A00009016","V01","A00009016-V01","Year 0",0.54,"Mini",1,1,"Quarterly","No","WorkPrivate","38344","No",37,0,"M","",16,0,11,1870,60,"Diesel","RENAULT","TRAFIC",14,11,118,"Commercial",16345,0
"9858","A00009017","V01","A00009017-V01","Year 0",0.5,"Maxi",5,1,"Yearly","Yes","WorkPrivate","74245","Yes",55,56,"M","F",37,37,1,1149,75,"Gasoline","RENAULT","TWINGO",3,1,169,"Tourism",10750,955
"9859","A00009018","V01","A00009018-V01","Year 0",0.85,"Maxi",1,1,"Yearly","No","Retired","73114","No",65,0,"F","",33,0,1,1149,77,"Gasoline","RENAULT","TWINGO",1,1,169,"Tourism",12850,864
"9860","A00009019","V01","A00009019-V01","Year 0",0.76,"Maxi",26,1,"Yearly","No","WorkPrivate","29189","Yes",60,25,"F","M",40,7,1,1560,115,"Diesel","VOLVO","V50",1,1,195,"Tourism",27200,1305
"9861","A00009020","V01","A00009020-V01","Year 0",0.5,"Maxi",26,2,"Yearly","No","WorkPrivate","50032","No",52,0,"F","",32,0,2,1461,64,"Diesel","RENAULT","CLIO",2,1,162,"Tourism",12249,1015
"9862","A00009021","V01","A00009021-V01","Year 0",0.95,"Maxi",3,3,"Monthly","No","WorkPrivate","76351","No",75,0,"M","",50,0,6,1398,68,"Diesel","CITROEN","C3",9,1,158,"Tourism",18150,1058
"9863","A00009022","V01","A00009022-V01","Year 0",0.5,"Maxi",12,1,"Yearly","Yes","Retired","73105","No",75,0,"M","",56,0,17,1690,81,"Gasoline","LADA VAZ","NIVA",17,16,137,"Tourism",10047,1200
"9864","A00009023","V01","A00009023-V01","Year 0",0.5,"Mini",1,1,"Yearly","No","WorkPrivate","73164","Yes",35,42,"F","M",16,24,15,3059,109,"Diesel","OPEL","CAMPO",15,15,140,"Commercial",23520,1745
"9865","A00009024","V01","A00009024-V01","Year 0",0.5,"Median1",11,1,"Yearly","No","WorkPrivate","78043","Yes",53,20,"M","F",33,2,11,1598,111,"Gasoline","RENAULT","SCENIC",12,11,185,"Tourism",17517,1260
"9866","A00009024","V02","A00009024-V02","Year 0",0.5,"Median1",10,3,"Yearly","No","WorkPrivate","78043","Yes",53,53,"F","M",34,33,12,1149,59,"Gasoline","RENAULT","CLIO",13,11,160,"Tourism",10962,890
"9867","A00009024","V03","A00009024-V03","Year 0",0.5,"Maxi",2,2,"Yearly","No","WorkPrivate","78043","No",53,0,"F","",34,0,2,1560,109,"Diesel","PEUGEOT","308",4,3,191,"Tourism",21750,1322
"9868","A00009025","V01","A00009025-V01","Year 0",0.5,"Mini",10,2,"Biannual","No","WorkPrivate","54138","No",43,0,"M","",25,0,12,1896,111,"Diesel","AUDI","A4",13,12,194,"Tourism",25734,1240
"9869","A00009026","V01","A00009026-V01","Year 0",0.5,"Maxi",12,3,"Monthly","No","Retired","83107","No",69,0,"F","",42,0,4,1229,81,"Gasoline","OPEL","CORSA",5,4,168,"Tourism",13900,1070
"9870","A00009027","V01","A00009027-V01","Year 0",0.5,"Maxi",3,2,"Yearly","No","Retired","61342","No",75,0,"F","",48,0,10,1997,109,"Diesel","CITROEN","C5",10,9,192,"Tourism",22000,1460
"9871","A00009028","V01","A00009028-V01","Year 0",0.5,"Median2",29,1,"Biannual","No","WorkPrivate","58117","No",55,0,"F","",35,0,10,1997,90,"Diesel","PEUGEOT","PARTNER",10,9,163,"Tourism",18000,1110
"9872","A00009028","V02","A00009028-V02","Year 0",0.5,"Median1",1,1,"Biannual","No","WorkPrivate","58117","Yes",55,58,"F","M",35,39,22,1595,55,"Diesel","RENAULT","EXPRESS",26,17,132,"Commercial",11247,1385
"9873","A00009029","V01","A00009029-V01","Year 0",0.5,"Maxi",11,3,"Biannual","No","WorkPrivate","84089","No",49,0,"F","",30,0,9,1461,66,"Diesel","RENAULT","CLIO",10,8,163,"Tourism",13050,960
"9874","A00009030","V01","A00009030-V01","Year 0",0.5,"Maxi",3,3,"Biannual","No","WorkPrivate","57463","Yes",55,54,"M","F",37,34,7,1124,60,"Gasoline","CITROEN","C2",8,3,158,"Tourism",11350,932
"9875","A00009031","V01","A00009031-V01","Year 0",0.5,"Maxi",6,1,"Yearly","No","WorkPrivate","69387","Yes",44,44,"F","M",23,26,4,1398,68,"Diesel","PEUGEOT","207",5,4,166,"Tourism",16500,1186
"9876","A00009032","V01","A00009032-V01","Year 0",0.52,"Maxi",29,4,"Biannual","No","Retired","03102","No",83,0,"M","",64,0,4,1360,74,"Gasoline","CITROEN","C3",9,9,168,"Tourism",11850,1080
"9877","A00009033","V01","A00009033-V01","Year 0",0.51,"Maxi",1,1,"Monthly","No","WorkPrivate","01053","No",39,0,"F","",21,0,1,999,63,"Gasoline","KIA","PICANTO",1,1,150,"Tourism",8640,855
"9878","A00009034","V01","A00009034-V01","Year 0",0.5,"Maxi",22,3,"Monthly","No","WorkPrivate","33063","No",62,0,"M","",40,0,13,1998,221,"Gasoline","FIAT","COUPE",15,12,250,"Tourism",28478,1310
"9879","A00009034","V02","A00009034-V02","Year 0",0.5,"Maxi",7,1,"Monthly","No","WorkPrivate","33063","No",62,0,"M","",40,0,1,1598,157,"Gasoline","CITROEN","DS3",1,1,214,"Tourism",21150,1165
"9880","A00009035","V01","A00009035-V01","Year 0",0.5,"Maxi",9,1,"Yearly","No","Retired","06088","No",88,0,"F","",45,0,9,1390,75,"Gasoline","VOLKSWAGEN","LUPO",13,7,168,"Tourism",13970,953
"9881","A00009036","V01","A00009036-V01","Year 0",0.5,"Maxi",14,1,"Yearly","No","Retired","47295","No",67,0,"F","",38,0,6,1991,112,"Diesel","HYUNDAI","TUCSON",7,6,168,"Tourism",26110,1652
"9882","A00009037","V01","A00009037-V01","Year 0",1,"Maxi",12,1,"Biannual","No","WorkPrivate","74089","No",30,0,"M","",12,0,4,1686,125,"Diesel","OPEL","ASTRA",4,2,197,"Tourism",24370,1290
"9883","A00009038","V01","A00009038-V01","Year 0",0.5,"Maxi",19,2,"Biannual","No","Retired","03126","No",74,0,"F","",35,0,10,1360,75,"Gasoline","PEUGEOT","206",13,8,170,"Tourism",11950,950
"9884","A00009039","V01","A00009039-V01","Year 0",0.56,"Median2",7,6,"Biannual","No","WorkPrivate","2A004","No",42,0,"M","",22,0,13,2495,113,"Diesel","LAND ROVER","DEFENDER",13,12,130,"Tourism",27594,1979
"9885","A00009040","V01","A00009040-V01","Year 0",0.76,"Maxi",4,2,"Quarterly","No","WorkPrivate","29019","No",28,0,"M","",8,0,5,1461,68,"Diesel","RENAULT","CLIO",6,5,162,"Tourism",13400,1155
"9886","A00009041","V01","A00009041-V01","Year 0",0.64,"Maxi",11,2,"Quarterly","No","Professional","47001","No",61,0,"F","",42,0,2,1997,150,"Diesel","PEUGEOT","3008",2,2,195,"Tourism",27300,1529
"9887","A00009042","V01","A00009042-V01","Year 0",0.5,"Maxi",9,9,"Yearly","No","Retired","67206","No",78,0,"M","",59,0,14,1905,90,"Diesel","PEUGEOT","306",14,12,179,"Tourism",21069,1200
"9888","A00009043","V01","A00009043-V01","Year 0",0.72,"Median2",7,2,"Yearly","No","WorkPrivate","51230","No",50,0,"M","",32,0,7,2685,170,"Diesel","MERCEDES BENZ","C270",11,6,225,"Tourism",39300,1335
"9889","A00009043","V02","A00009043-V02","Year 0",0.72,"Mini",6,3,"Yearly","No","WorkPrivate","51230","No",50,0,"M","",32,0,7,1461,66,"Diesel","RENAULT","KANGOO",8,6,146,"Tourism",15850,1120
"9890","A00009044","V01","A00009044-V01","Year 0",0.5,"Median2",1,1,"Biannual","No","WorkPrivate","26362","Yes",48,36,"F","M",28,6,3,1399,97,"Gasoline","HYUNDAI","GETZ",6,4,170,"Tourism",13110,1069
"9891","A00009045","V01","A00009045-V01","Year 0",0.52,"Maxi",5,4,"Biannual","No","Retired","38169","No",67,0,"M","",49,0,8,1868,70,"Diesel","CITROEN","BERLINGO",9,4,142,"Tourism",15100,1110
"9892","A00009046","V01","A00009046-V01","Year 0",0.5,"Maxi",5,2,"Yearly","No","WorkPrivate","69388","No",38,0,"F","",20,0,5,1560,90,"Diesel","PEUGEOT","307",6,6,179,"Tourism",17500,1193
"9893","A00009047","V01","A00009047-V01","Year 0",0.5,"Median2",7,3,"Monthly","No","WorkPrivate","62730","Yes",44,42,"M","F",25,22,12,1870,98,"Diesel","RENAULT","LAGUNA",13,11,185,"Tourism",20734,1310
"9894","A00009048","V01","A00009048-V01","Year 0",0.9,"Maxi",3,2,"Quarterly","No","WorkPrivate","68322","No",27,0,"F","",6,0,4,1870,131,"Diesel","RENAULT","MEGANE",6,5,200,"Tourism",23750,1250
"9895","A00009049","V01","A00009049-V01","Year 0",0.95,"Median1",2,2,"Biannual","No","WorkPrivate","17021","No",22,0,"F","",2,0,16,1488,51,"Diesel","OPEL","CORSA",16,15,150,"Tourism",10611,850
"9896","A00009050","V01","A00009050-V01","Year 0",0.5,"Median2",17,5,"Biannual","No","Retired","29207","Yes",80,71,"M","F",49,53,14,1527,58,"Diesel","PEUGEOT","106",15,13,158,"Tourism",11221,895
"9897","A00009051","V01","A00009051-V01","Year 0",0.5,"Maxi",28,1,"Biannual","No","WorkPrivate","60185","Yes",60,56,"M","F",40,21,2,1398,68,"Diesel","PEUGEOT","207",4,1,166,"Tourism",17100,1176
"9898","A00009051","V02","A00009051-V02","Year 0",0.5,"Mini",1,1,"Biannual","No","WorkPrivate","60185","Yes",60,56,"M","F",40,21,13,2188,113,"Diesel","RENAULT","SAFRANE",15,13,192,"Tourism",30643,1575
"9899","A00009052","V01","A00009052-V01","Year 0",0.5,"Maxi",10,2,"Yearly","No","WorkPrivate","75119","Yes",53,46,"M","F",28,17,10,1783,117,"Gasoline","RENAULT","LAGUNA",11,7,200,"Tourism",23250,1315
"9900","A00009053","V01","A00009053-V01","Year 0",0.5,"Maxi",13,13,"Biannual","No","WorkPrivate","59279","No",59,0,"M","",36,0,24,1360,66,"Gasoline","PEUGEOT","205",24,23,163,"Tourism",9426,790
"9901","A00009054","V01","A00009054-V01","Year 0",0.5,"Median2",6,2,"Yearly","No","WorkPrivate","72149","No",59,0,"M","",38,0,13,1527,58,"Diesel","CITROEN","SAXO",15,12,156,"Tourism",10718,890
"9902","A00009055","V01","A00009055-V01","Year 0",0.5,"Maxi",7,7,"Monthly","No","WorkPrivate","78117","No",67,0,"F","",49,0,10,1587,109,"Gasoline","PEUGEOT","307",10,7,190,"Tourism",18350,1193
"9903","A00009056","V01","A00009056-V01","Year 0",0.5,"Median1",1,1,"Biannual","No","WorkPrivate","26037","Yes",55,55,"F","M",36,36,13,1149,59,"Gasoline","RENAULT","TWINGO",15,12,152,"Tourism",9620,823
"9904","A00009057","V01","A00009057-V01","Year 0",0.5,"Maxi",11,2,"Yearly","No","WorkPrivate","93007","Yes",62,34,"M","F",44,15,3,1461,106,"Diesel","RENAULT","MEGANE",3,1,190,"Tourism",24550,1215
"9905","A00009058","V01","A00009058-V01","Year 0",0.68,"Median1",4,2,"Monthly","No","WorkPrivate","66136","No",26,0,"F","",8,0,6,1997,90,"Diesel","CITROEN","XSARA",12,6,175,"Tourism",20750,1320
"9906","A00009059","V01","A00009059-V01","Year 0",0.5,"Maxi",4,2,"Monthly","No","WorkPrivate","13207","No",61,0,"M","",43,0,4,1968,140,"Diesel","VOLKSWAGEN","TOURAN",5,4,198,"Tourism",29020,1592
"9907","A00009060","V01","A00009060-V01","Year 0",0.5,"Maxi",22,5,"Yearly","No","Retired","56124","Yes",76,70,"M","F",46,30,6,1149,75,"Gasoline","RENAULT","CLIO",10,8,170,"Tourism",13050,930
"9908","A00009061","V01","A00009061-V01","Year 0",0.5,"Maxi",11,2,"Monthly","No","Retired","59544","No",60,0,"F","",34,0,13,1360,75,"Gasoline","PEUGEOT","306",13,12,165,"Tourism",12547,1020
"9909","A00009062","V01","A00009062-V01","Year 0",0.5,"Maxi",27,3,"Biannual","No","Retired","65417","Yes",84,75,"M","F",61,56,6,1587,109,"Gasoline","PEUGEOT","206",11,8,197,"Tourism",16050,950
"9910","A00009063","V01","A00009063-V01","Year 0",0.95,"Mini",1,1,"Quarterly","No","WorkPrivate","62846","No",22,0,"M","",2,0,12,954,51,"Gasoline","PEUGEOT","106",12,11,150,"Tourism",9147,815
"9911","A00009064","V01","A00009064-V01","Year 0",0.5,"Maxi",16,3,"Monthly","No","WorkPrivate","51573","No",54,0,"F","",28,0,17,1124,60,"Gasoline","PEUGEOT","106",18,17,165,"Tourism",11587,790
"9912","A00009065","V01","A00009065-V01","Year 0",0.52,"Median1",2,1,"Yearly","No","WorkPrivate","69027","No",31,0,"M","",13,0,13,1396,104,"Gasoline","ROVER","214",15,13,185,"Tourism",13568,1000
"9913","A00009066","V01","A00009066-V01","Year 0",0.54,"Maxi",11,6,"Biannual","No","WorkPrivate","77390","No",40,0,"M","",21,0,8,1997,90,"Diesel","PEUGEOT","206",9,8,180,"Tourism",18000,1010
"9914","A00009067","V01","A00009067-V01","Year 0",0.5,"Maxi",23,5,"Monthly","No","WorkPrivate","49016","Yes",61,30,"F","F",42,12,5,1198,55,"Gasoline","VOLKSWAGEN","FOX",6,5,148,"Tourism",8990,998
"9915","A00009068","V01","A00009068-V01","Year 0",0.72,"Mini",10,4,"Biannual","No","WorkPrivate","05174","Yes",34,39,"F","M",16,20,9,1461,82,"Diesel","RENAULT","CLIO",10,8,175,"Tourism",14450,980
"9916","A00009069","V01","A00009069-V01","Year 0",0.5,"Maxi",22,1,"Biannual","No","WorkPrivate","06130","Yes",63,67,"F","M",33,46,1,1398,68,"Diesel","PEUGEOT","207",1,1,166,"Tourism",17500,1178
"9917","A00009070","V01","A00009070-V01","Year 0",0.68,"Mini",1,1,"Yearly","No","Professional","83071","Yes",40,40,"M","F",20,19,21,2496,68,"Diesel","FORD","TRANSIT",25,19,115,"Commercial",15680,0
"9918","A00009071","V01","A00009071-V01","Year 0",0.5,"Median1",6,1,"Monthly","No","WorkPrivate","62846","No",65,0,"M","",46,0,11,2446,86,"Diesel","PEUGEOT","BOXER",17,9,127,"Commercial",24341,0
"9919","A00009072","V01","A00009072-V01","Year 0",0.5,"Median2",10,1,"Yearly","No","Retired","94068","No",57,0,"M","",37,0,10,1587,109,"Gasoline","PEUGEOT","206",11,8,197,"Tourism",15050,950
"9920","A00009073","V01","A00009073-V01","Year 0",0.5,"Median2",19,1,"Biannual","No","WorkPrivate","37261","Yes",46,46,"F","M",22,26,17,1124,60,"Gasoline","PEUGEOT","106",18,15,165,"Tourism",10062,790
"9921","A00009073","V02","A00009073-V02","Year 0",0.5,"Maxi",5,4,"Biannual","No","WorkPrivate","37261","Yes",46,46,"M","F",26,22,12,1598,108,"Gasoline","RENAULT","MEGANE",12,11,195,"Tourism",15992,1085
"9922","A00009074","V01","A00009074-V01","Year 0",0.5,"Maxi",29,1,"Yearly","No","Retired","25159","No",82,0,"F","",48,0,1,1124,60,"Gasoline","CITROEN","C3",2,1,153,"Tourism",12450,1010
"9923","A00009075","V01","A00009075-V01","Year 0",0.5,"Median1",6,3,"Monthly","No","WorkPrivate","44120","No",41,0,"M","",20,0,18,1998,204,"Gasoline","OPEL","CALIBRA",19,15,245,"Tourism",33524,1350
"9924","A00009076","V01","A00009076-V01","Year 0",0.64,"Median1",8,2,"Monthly","No","WorkPrivate","94081","Yes",38,36,"M","M",20,14,17,1905,93,"Diesel","PEUGEOT","306",18,15,180,"Tourism",18538,1120
"9925","A00009077","V01","A00009077-V01","Year 0",0.64,"Maxi",7,2,"Monthly","No","WorkPrivate","63198","No",29,0,"F","",9,0,5,1086,67,"Gasoline","HYUNDAI","GETZ",6,4,150,"Tourism",9640,1011
"9926","A00009078","V01","A00009078-V01","Year 0",0.5,"Maxi",10,2,"Biannual","No","WorkPrivate","93050","No",47,0,"M","",26,0,6,1560,109,"Diesel","PEUGEOT","307",7,6,192,"Tourism",22150,1512
"9927","A00009079","V01","A00009079-V01","Year 0",0.7,"Maxi",14,1,"Yearly","No","Professional","44109","Yes",44,44,"M","F",25,23,3,1461,86,"Diesel","RENAULT","CLIO",4,1,174,"Tourism",18600,1205
"9928","A00009080","V01","A00009080-V01","Year 0",0.5,"Mini",12,3,"Monthly","No","WorkPrivate","68191","No",63,0,"M","",44,0,11,1242,60,"Gasoline","FIAT","PUNTO",12,9,155,"Tourism",9940,875
"9929","A00009081","V01","A00009081-V01","Year 0",0.5,"Maxi",10,6,"Biannual","No","Professional","67482","Yes",67,65,"F","M",48,41,13,1905,68,"Diesel","CITROEN","XSARA",14,12,162,"Commercial",15383,1106
"9930","A00009082","V01","A00009082-V01","Year 0",0.57,"Maxi",5,5,"Biannual","No","WorkPrivate","38317","No",29,0,"M","",11,0,6,1997,90,"Diesel","PEUGEOT","307",10,7,179,"Tourism",18100,1243
"9931","A00009083","V01","A00009083-V01","Year 0",0.5,"Median2",28,19,"Yearly","No","Retired","29105","No",86,0,"M","",60,0,28,1588,86,"Gasoline","AUDI","80",33,28,169,"Tourism",9126,950
"9932","A00009084","V01","A00009084-V01","Year 0",0.6,"Median2",10,3,"Quarterly","No","WorkPrivate","93032","No",55,0,"M","",36,0,15,1171,60,"Gasoline","RENAULT","CLIO",19,15,155,"Tourism",10199,820
"9933","A00009085","V01","A00009085-V01","Year 0",0.5,"Maxi",11,2,"Monthly","No","WorkPrivate","85049","No",62,0,"F","",19,0,2,1124,60,"Gasoline","CITROEN","C3",2,1,153,"Tourism",12150,1010
"9934","A00009086","V01","A00009086-V01","Year 0",0.6,"Median2",4,1,"Monthly","No","WorkPrivate","11299","No",38,0,"F","",13,0,9,1870,102,"Diesel","RENAULT","SCENIC",11,10,174,"Tourism",20124,1290
"9935","A00009087","V01","A00009087-V01","Year 0",0.5,"Maxi",29,6,"Biannual","No","WorkPrivate","75113","No",56,0,"F","",36,0,6,1360,74,"Gasoline","CITROEN","C2",8,3,169,"Tourism",15000,987
"9936","A00009088","V01","A00009088-V01","Year 0",0.5,"Maxi",34,10,"Yearly","No","Retired","72181","No",78,0,"M","",46,0,16,1390,60,"Gasoline","RENAULT","R19",19,17,162,"Tourism",11510,950
"9937","A00009089","V01","A00009089-V01","Year 0",0.5,"Median1",2,2,"Yearly","No","WorkPrivate","75118","No",44,0,"M","",26,0,12,1950,116,"Diesel","ROVER","75",12,7,193,"Tourism",24700,1485
"9938","A00009090","V01","A00009090-V01","Year 0",0.51,"Maxi",10,7,"Biannual","No","Retired","46071","No",73,0,"M","",34,0,12,1997,90,"Diesel","CITROEN","XSARA",12,11,181,"Tourism",17837,1215
"9939","A00009091","V01","A00009091-V01","Year 0",0.5,"Maxi",3,3,"Yearly","No","WorkPrivate","13208","No",55,0,"F","",35,0,7,1596,101,"Gasoline","FORD","FUSION",9,8,178,"Tourism",15450,1080
"9940","A00009092","V01","A00009092-V01","Year 0",0.5,"Maxi",5,2,"Monthly","No","WorkPrivate","75117","Yes",52,53,"F","M",28,34,9,1998,150,"Gasoline","TOYOTA","RAV4",11,8,175,"Tourism",25000,1365
"9941","A00009093","V01","A00009093-V01","Year 0",0.5,"Maxi",6,3,"Monthly","No","WorkPrivate","57242","No",52,0,"M","",33,0,6,1997,136,"Diesel","CITROEN","C4",7,3,207,"Tourism",26250,1381
"9942","A00009094","V01","A00009094-V01","Year 0",0.5,"Median2",6,1,"Biannual","No","Retired","67324","No",66,0,"M","",46,0,5,2946,211,"Gasoline","CITROEN","C6",6,2,230,"Tourism",52150,1816
"9943","A00009095","V01","A00009095-V01","Year 0",0.5,"Median2",17,4,"Yearly","No","WorkPrivate","53203","No",58,0,"M","",37,0,10,1108,55,"Gasoline","FIAT","PANDA",10,8,140,"Tourism",6165,800
"9944","A00009095","V02","A00009095-V02","Year 0",0.5,"Maxi",11,6,"Yearly","No","WorkPrivate","53203","Yes",58,57,"M","F",37,30,11,1598,108,"Gasoline","RENAULT","SCENIC",13,11,182,"Tourism",19727,1250
"9945","A00009096","V01","A00009096-V01","Year 0",0.57,"Maxi",8,2,"Monthly","No","WorkPrivate","77390","Yes",45,39,"M","F",25,17,2,1461,68,"Diesel","DACIA","LOGAN",3,1,150,"Tourism",13450,1245
"9946","A00009097","V01","A00009097-V01","Year 0",0.62,"Median2",21,2,"Yearly","No","WorkPrivate","12145","No",51,0,"M","",31,0,18,1686,82,"Diesel","OPEL","ASTRA",19,16,176,"Tourism",16511,1090
"9947","A00009098","V01","A00009098-V01","Year 0",0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","68018","Yes",50,52,"M","F",31,33,7,2463,135,"Diesel","RENAULT","TRAFIC",8,5,163,"Tourism",27350,1816
"9948","A00009099","V01","A00009099-V01","Year 0",0.5,"Median1",1,1,"Yearly","Yes","Retired","33449","No",55,0,"M","",33,0,9,1390,98,"Gasoline","RENAULT","MEGANE",9,6,183,"Tourism",16750,1165
"9949","A00009100","V01","A00009100-V01","Year 0",0.5,"Maxi",7,2,"Monthly","No","Professional","91573","No",49,0,"M","",28,0,2,1995,150,"Diesel","RENAULT","ESPACE",5,4,194,"Tourism",36700,1825
"9950","A00009101","V01","A00009101-V01","Year 0",0.56,"Median2",11,3,"Monthly","No","WorkPrivate","71321","No",41,0,"M","",22,0,8,1997,90,"Diesel","CITROEN","XSARA",11,9,181,"Tourism",18000,1325
"9951","A00009102","V01","A00009102-V01","Year 0",0.5,"Maxi",4,2,"Yearly","No","WorkPrivate","54483","Yes",62,25,"F","M",43,6,8,1398,93,"Diesel","CITROEN","C3",9,9,180,"Tourism",14250,1058
"9952","A00009103","V01","A00009103-V01","Year 0",0.5,"Maxi",4,3,"Yearly","No","Retired","74183","Yes",66,70,"F","M",47,51,8,1360,75,"Gasoline","PEUGEOT","206",12,6,160,"Tourism",15850,1055
"9953","A00009104","V01","A00009104-V01","Year 0",0.54,"Median2",11,1,"Biannual","No","WorkPrivate","06088","Yes",58,38,"M","F",40,20,4,1390,98,"Gasoline","RENAULT","CLIO",10,8,186,"Tourism",13750,980
"9954","A00009105","V01","A00009105-V01","Year 0",0.5,"Maxi",25,1,"Monthly","No","Retired","44131","No",65,0,"M","",44,0,8,2401,164,"Diesel","VOLVO","S60",10,9,210,"Tourism",28150,1441
"9955","A00009106","V01","A00009106-V01","Year 0",0.5,"Mini",13,1,"Monthly","No","WorkPrivate","49378","Yes",50,48,"M","F",31,30,23,1595,55,"Diesel","RENAULT","EXPRESS",26,17,132,"Commercial",11247,1385
"9956","A00009107","V01","A00009107-V01","Year 0",0.5,"Maxi",17,1,"Monthly","No","WorkPrivate","71398","Yes",39,33,"M","F",20,10,5,1997,136,"Diesel","PEUGEOT","407",7,4,203,"Tourism",29400,1635
"9957","A00009108","V01","A00009108-V01","Year 0",0.5,"Maxi",9,2,"Monthly","No","WorkPrivate","69296","Yes",41,44,"F","M",22,26,10,1997,90,"Diesel","CITROEN","XSARA",10,6,175,"Tourism",22450,1300
"9958","A00009109","V01","A00009109-V01","Year 0",0.5,"Maxi",28,2,"Yearly","No","WorkPrivate","95355","No",58,0,"M","",40,0,3,1560,90,"Diesel","CITROEN","C4",7,3,180,"Tourism",18800,1257
"9959","A00009110","V01","A00009110-V01","Year 0",0.5,"Maxi",7,2,"Monthly","No","WorkPrivate","29069","Yes",57,27,"F","M",34,9,2,1461,68,"Diesel","RENAULT","MODUS",5,2,159,"Tourism",15300,1180
"9960","A00009111","V01","A00009111-V01","Year 0",0.5,"Maxi",6,1,"Monthly","Yes","WorkPrivate","31557","No",51,0,"F","",19,0,1,998,68,"Gasoline","PEUGEOT","107",6,1,157,"Tourism",9450,790
"9961","A00009112","V01","A00009112-V01","Year 0",0.5,"Maxi",6,4,"Monthly","No","Retired","81004","No",80,0,"M","",49,0,9,1149,75,"Gasoline","RENAULT","CLIO",10,8,170,"Tourism",11250,910
"9962","A00009113","V01","A00009113-V01","Year 0",0.6,"Maxi",6,2,"Biannual","No","WorkPrivate","84007","No",44,0,"F","",19,0,3,2188,155,"Diesel","HYUNDAI","SANTA FE",5,2,179,"Tourism",34470,1869
"9963","A00009113","V02","A00009113-V02","Year 0",0.6,"Median2",4,2,"Biannual","No","WorkPrivate","84007","No",44,0,"F","",19,0,7,1598,116,"Gasoline","MINI","MINI",10,5,200,"Tourism",18600,1125
"9964","A00009114","V01","A00009114-V01","Year 0",0.5,"Maxi",20,5,"Biannual","No","Retired","35288","No",71,0,"F","",43,0,13,1587,90,"Gasoline","PEUGEOT","306",14,13,179,"Tourism",15962,1090
"9965","A00009115","V01","A00009115-V01","Year 0",0.5,"Maxi",11,6,"Yearly","No","WorkPrivate","85147","Yes",47,38,"M","F",29,18,12,1870,64,"Diesel","RENAULT","KANGOO",13,12,145,"Tourism",13873,1110
"9966","A00009116","V01","A00009116-V01","Year 0",0.5,"Median2",5,1,"Monthly","No","WorkPrivate","33026","No",60,0,"F","",40,0,7,1398,68,"Diesel","PEUGEOT","206",10,6,168,"Tourism",14500,1049
"9967","A00009117","V01","A00009117-V01","Year 0",0.5,"Maxi",12,2,"Monthly","No","WorkPrivate","60666","Yes",56,24,"F","M",37,6,2,1560,90,"Diesel","PEUGEOT","207",5,2,182,"Tourism",18750,1205
"9968","A00009118","V01","A00009118-V01","Year 0",0.5,"Mini",16,4,"Yearly","No","WorkPrivate","35312","No",42,0,"M","",24,0,13,1870,64,"Diesel","RENAULT","CLIO",13,11,161,"Tourism",11876,985
"9969","A00009119","V01","A00009119-V01","Year 0",0.5,"Median1",11,1,"Quarterly","No","WorkPrivate","62587","No",53,0,"M","",35,0,15,1905,70,"Diesel","CITROEN","ZX",17,14,161,"Tourism",15093,1090
"9970","A00009120","V01","A00009120-V01","Year 0",0.54,"Maxi",7,1,"Yearly","No","Professional","49129","Yes",44,42,"M","F",13,12,4,1870,131,"Diesel","RENAULT","SCENIC",5,3,192,"Tourism",26500,1530
"9971","A00009121","V01","A00009121-V01","Year 0",0.5,"Maxi",2,1,"Monthly","No","Retired","49035","No",70,0,"M","",47,0,7,3222,204,"Diesel","MERCEDES BENZ","E320",9,6,243,"Tourism",46450,1735
"9972","A00009122","V01","A00009122-V01","Year 0",0.5,"Median1",25,1,"Yearly","No","Retired","56177","No",64,0,"F","",34,0,25,1721,82,"Gasoline","RENAULT","R11",28,25,175,"Tourism",11007,950
"9973","A00009123","V01","A00009123-V01","Year 0",0.5,"Maxi",26,1,"Yearly","No","Retired","58194","Yes",65,67,"F","M",42,46,2,1339,100,"Gasoline","HONDA","JAZZ",3,1,182,"Tourism",16460,1071
